latitude,longitude,count,start_time,end_time,avg_amp,miles_added,avg_charging_mph,avg_voltage,energy_added,duration,street,city,state,zip,country
47.862347,-121.9767,83,2018-07-12T19:14:31Z,2018-07-12T20:40:27Z,35,218.5,303.8855421686747,397.0240963855422,51.8,5156,House Number Not Found Street Not Found, Monroe, Washington, 98272, United States of America
46.976878,-120.541754,45,2018-07-14T16:48:07Z,2018-07-14T17:33:10Z,34.62222222222222,181.5,353.9866666666667,395.31111111111113,43,2703,House Number Not Found Canyon Road, Holmes, Washington, 98926, United States of America
45.646615,-118.682115,37,2018-07-14T21:57:23Z,2018-07-14T22:33:18Z,48,189,418.0324324324324,389.5405405405405,44.8,2155,House Number Not Found Kusi Road, Mission, Oregon, Postcode Not Found, United States of America
44.783098,-117.812441,11,2018-07-15T00:03:26Z,2018-07-15T00:14:19Z,48,49.5,289.1454545454545,382.27272727272725,11.7,653,House Number Not Found Street Not Found, Baker City, Oregon, 97814, United States of America
43.592212,-116.27946,88,2018-07-15T08:02:01Z,2018-07-15T09:30:46Z,48,239,203.97386363636363,381.54545454545456,56.6,5325,House Number Not Found Street Not Found, Boise City, Idaho, 83709, United States of America
42.598005,-114.455354,68,2018-07-15T11:41:41Z,2018-07-15T12:51:55Z,33.661764705882355,170.5,272.7823529411765,398.1764705882353,40.4,4214,House Number Not Found Street Not Found, Twin Falls, Idaho, 83303, United States of America
41.70989,-112.198461,28,2018-07-15T15:44:13Z,2018-07-15T16:11:15Z,48,145.5,405.39642857142854,389.32142857142856,34.5,1622,House Number Not Found Street Not Found, Tremonton, Utah, 84337, United States of America
38.249164,-112.652706,28,2018-07-17T10:47:44Z,2018-07-17T11:15:48Z,35.92857142857143,166.5,418.5107142857143,379.4642857142857,39.5,1684,House Number Not Found South Campground Road, Beaver, Utah, 84713, United States of America
36.925011,-111.468082,34,2018-07-17T14:37:53Z,2018-07-17T15:10:48Z,35,163.5,354.86470588235295,377.61764705882354,38.8,1975,677 Scenic View Road, Page, Arizona, 86040, United States of America
35.17431,-111.663321,17,2018-07-17T17:36:56Z,2018-07-17T17:54:02Z,34.05882352941177,124,465.3411764705882,384.6470588235294,29.4,1026,House Number Not Found Street Not Found, Flagstaff, Arizona, 86001, United States of America
33.741391,-116.214885,54,2018-07-19T10:55:41Z,2018-07-19T11:49:36Z,36.44444444444444,257,378.45,386.25925925925924,60.9,3235,42500 Jackson Street, Indio, California, 92203, United States of America
35.400041,-119.397812,22,2018-07-19T15:47:47Z,2018-07-19T16:08:41Z,35.18181818181818,136,439.4318181818182,373.8636363636364,32.2,1254,House Number Not Found Street Not Found, Buttonwillow, California, 93206, United States of America
35.987632,-119.961776,56,2018-07-19T17:03:51Z,2018-07-19T18:01:49Z,33.142857142857146,106.5,255.4892857142857,397.32142857142856,25.2,3478,House Number Not Found Ward Avenue, Kettleman Station, California, 93239, United States of America
37.415278,-122.07669,62,2018-07-20T13:25:40Z,2018-07-20T14:28:40Z,48,212,172.1725806451613,374.2096774193548,50.3,3780,House Number Not Found Permanente Creek Trail, Mountain View, California, 94086, United States of America
39.926351,-122.198254,41,2018-07-23T10:44:00Z,2018-07-23T11:27:51Z,35.951219512195124,224.5,420.0219512195122,387.1463414634146,53.2,2631,House Number Not Found Street Not Found, Corning, California, 96021, United States of America
42.460892,-123.323978,40,2018-07-23T15:02:52Z,2018-07-23T15:42:57Z,35,221,428.66,385.525,52.4,2405,House Number Not Found Street Not Found, Grants Pass, Oregon, 97526, United States of America
44.082504,-123.037379,19,2018-07-24T08:02:38Z,2018-07-24T08:20:46Z,48,115,421.07894736842104,380.63157894736844,27.2,1088,House Number Not Found Street Not Found, Springfield, Oregon, 97477, United States of America
45.721527,-122.663714,46,2018-07-24T10:22:45Z,2018-07-24T11:10:42Z,34.91304347826087,205,382.62608695652176,393.1521739130435,48.6,2877,14406 Northeast 17th Avenue, Mount Vista, Washington, 98686, United States of America
