Task name, Task description, Start time, End time, Duration,Duration in hours, Note, Category
"Drive - Manual","","Jul 14, 2018 at 3:06:22 PM","Jul 14, 2018 at 3:09:15 PM","00:02:52",0.0479280,"","Driving"
"Drive - Tech Assist","","Jul 14, 2018 at 3:09:15 PM","Jul 14, 2018 at 3:12:58 PM","00:03:42",0.0619427,"","Driving"
"Drive - Manual","","Jul 14, 2018 at 3:12:58 PM","Jul 14, 2018 at 3:14:25 PM","00:01:27",0.0242989,"","Driving"
"Drive - Tech Assist","","Jul 14, 2018 at 3:14:25 PM","Jul 14, 2018 at 4:43:33 PM","01:29:07",1.4853353,"","Driving"
"Drive - Manual","","Jul 14, 2018 at 4:43:33 PM","Jul 14, 2018 at 4:45:34 PM","00:02:01",0.0338833,"","Driving"
"Charge","","Jul 14, 2018 at 4:45:34 PM","Jul 14, 2018 at 5:33:12 PM","00:47:37",0.7938701,"","Not Driving"
"Study","","Jul 14, 2018 at 5:33:13 PM","Jul 14, 2018 at 6:41:37 PM","01:08:24",1.1401549,"","Not Driving"
"Drive - Manual","","Jul 14, 2018 at 6:41:37 PM","Jul 14, 2018 at 6:47:14 PM","00:05:36",0.0935463,"","Driving"
"Drive - Tech Assist","","Jul 14, 2018 at 6:47:14 PM","Jul 14, 2018 at 6:49:29 PM","00:02:14",0.0374091,"","Driving"
"Drive - Tech Assist","","Jul 14, 2018 at 6:49:29 PM","Jul 14, 2018 at 6:51:45 PM","00:02:15",0.0377418,"","Driving"
"Drive - Tech Assist","","Jul 14, 2018 at 6:51:45 PM","Jul 14, 2018 at 9:12:57 PM","02:21:12",2.3533408,"","Driving"
"Drive - Manual","","Jul 14, 2018 at 9:12:57 PM","Jul 14, 2018 at 9:18:03 PM","00:05:05",0.0848043,"","Driving"
"Idle","","Jul 14, 2018 at 9:18:03 PM","Jul 14, 2018 at 9:18:04 PM","00:00:00",0.0002735,"","Not Driving"
"Idle","","Jul 14, 2018 at 9:18:32 PM","Jul 14, 2018 at 9:54:13 PM","00:35:41",0.5948032,"","Not Driving"
"Drive - Manual","","Jul 14, 2018 at 9:54:13 PM","Jul 14, 2018 at 9:56:07 PM","00:01:53",0.0314164,"","Driving"
"Charge","","Jul 14, 2018 at 9:56:07 PM","Jul 14, 2018 at 10:34:34 PM","00:38:27",0.6408646,"","Not Driving"
